Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
315,Solomon Hill\hillso01,PF,30,ATL,13,1,10.7,0.2,1.5,.150,0.2,1.0,.154,0.1,0.5,.143,.200,0.0,0.0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
316,Nate Hinton\hintona01,SG,22,IND,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
317,Jaylen Hoard\hoardja01,SF,22,OKC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Aaron Holiday\holidaa01,PG,25,TOT,57,14,16.6,2.5,5.4,.467,0.6,1.6,.400,1.9,3.8,.495,.526,0.9,1.0,.862,0.3,1.6,1.9,2.5,0.7,0.2,1.1,1.4,6.5
319,Aaron Holiday\holidaa01,PG,25,WAS,41,14,16.2,2.4,5.2,.467,0.6,1.6,.343,1.9,3.6,.524,.521,0.7,0.9,.800,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
320,Aaron Holiday\holidaa01,PG,25,PHO,16,0,17.6,2.7,5.8,.467,0.8,1.4,.565,1.9,4.3,.435,.538,1.4,1.4,.957,0.6,1.9,2.6,3.9,1.0,0.0,1.3,1.3,7.6
321,Jrue Holiday\holidjr01,PG,31,MIL,59,56,33.1,7.3,14.4,.505,1.9,4.7,.414,5.3,9.7,.549,.573,2.1,2.7,.759,1.1,3.4,4.5,6.7,1.6,0.4,2.7,2.0,18.5
322,Justin Holiday\holidju01,SF-SG,32,TOT,65,56,28.6,3.7,9.3,.399,2.5,6.8,.365,1.2,2.5,.491,.532,0.7,0.9,.825,0.4,2.2,2.6,1.8,0.8,0.4,1.0,2.2,10.6
323,Justin Holiday\holidju01,SF,32,IND,49,40,28.9,3.9,9.3,.415,2.6,6.9,.378,1.3,2.5,.516,.553,0.7,0.8,.829,0.4,2.4,2.8,1.8,0.7,0.4,1.0,2.1,11.0
324,Justin Holiday\holidju01,SG,32,SAC,16,16,27.8,3.2,9.1,.349,2.1,6.6,.324,1.1,2.6,.415,.466,0.8,1.0,.813,0.5,1.8,2.3,1.6,0.8,0.7,0.9,2.3,9.3
