Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
407,George King\kingge03,SF,28,DAL,4,0,4.8,0.0,1.3,.000,0.0,1.0,.000,0.0,0.3,.000,.000,0.3,0.5,.500,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
408,Louis King\kinglo02,SF,22,SAC,10,0,10.4,1.5,4.7,.319,0.8,2.7,.296,0.7,2.0,.350,.404,0.7,1.0,.700,0.0,1.2,1.2,0.9,0.2,0.1,0.0,1.4,4.5
409,Corey Kispert\kispeco01,SF,22,WAS,66,25,21.9,2.8,6.3,.450,1.3,3.8,.346,1.5,2.5,.611,.555,0.7,0.8,.849,0.7,1.9,2.6,1.0,0.4,0.3,0.6,1.1,7.7
410,Maxi Kleber\klebima01,PF,30,DAL,53,21,24.8,2.4,6.0,.400,1.5,4.3,.336,1.0,1.7,.560,.520,0.8,1.2,.721,1.2,4.6,5.8,1.2,0.5,1.1,0.7,2.4,7.1
411,Brandon Knight\knighbr03,PG,30,DAL,3,0,18.0,3.0,6.7,.450,1.3,4.3,.308,1.7,2.3,.714,.550,2.7,2.7,1.000,0.0,2.3,2.3,2.7,0.3,0.0,1.3,1.7,10.0
412,Nathan Knight\knighna01,PF,24,MIN,34,2,7.1,1.0,2.1,.493,0.1,0.3,.222,1.0,1.8,.532,.507,1.2,1.7,.737,0.8,1.4,2.1,0.5,0.2,0.2,0.5,1.1,3.4
413,Kevin Knox\knoxke01,SF,22,TOT,25,0,7.5,0.9,2.7,.328,0.4,1.7,.262,0.4,1.0,.440,.410,0.4,0.6,.688,0.5,1.0,1.5,0.4,0.1,0.0,0.3,0.5,2.6
414,Kevin Knox\knoxke01,SF,22,NYK,13,0,8.5,1.2,3.1,.375,0.8,2.2,.357,0.4,0.9,.417,.500,0.5,0.8,.700,0.6,1.1,1.7,0.2,0.2,0.1,0.4,0.4,3.6
415,Kevin Knox\knoxke01,SF,22,ATL,12,0,6.4,0.6,2.3,.259,0.1,1.2,.071,0.5,1.1,.462,.278,0.3,0.5,.667,0.4,0.9,1.3,0.6,0.1,0.0,0.2,0.6,1.6
416,John Konchar\konchjo01,SG,25,MEM,62,6,17.9,1.7,3.5,.500,0.7,1.7,.402,1.0,1.8,.596,.600,0.4,0.6,.590,1.1,3.4,4.5,1.4,0.6,0.3,0.4,1.3,4.5
417,Furkan Korkmaz\korkmfu01,SG,24,PHI,59,19,22.5,3.0,7.5,.394,1.3,4.3,.299,1.7,3.3,.518,.479,1.1,1.3,.795,0.3,2.5,2.9,2.1,0.5,0.1,0.8,0.9,8.3
418,Luke Kornet\kornelu01,C,26,TOT,8,0,4.6,0.1,1.3,.100,0.0,0.4,.000,0.1,0.9,.143,.100,0.3,0.4,.667,0.4,0.5,0.9,0.3,0.3,0.1,0.0,0.4,0.5
419,Luke Kornet\kornelu01,C,26,CLE,2,0,7.5,0.5,2.5,.200,0.0,0.5,.000,0.5,2.0,.250,.200,1.0,1.5,.667,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0
420,Luke Kornet\kornelu01,C,26,MIL,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
421,Luke Kornet\kornelu01,C,26,BOS,5,0,3.8,0.0,0.8,.000,0.0,0.4,.000,0.0,0.4,.000,.000,0.0,0.0,,0.0,0.6,0.6,0.2,0.4,0.0,0.0,0.2,0.0
422,Vit Krejci\krejcvi01,SG,21,OKC,20,0,17.6,1.6,3.6,.431,0.9,2.3,.378,0.7,1.4,.519,.549,0.4,0.5,.889,0.6,1.8,2.4,1.0,0.5,0.2,0.7,1.8,4.4
423,Arnoldas Kulboka\kulboar01,SF,24,CHO,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,Jonathan Kuminga\kuminjo01,SF,19,GSW,60,8,16.6,3.3,6.5,.515,0.7,2.2,.328,2.6,4.3,.611,.571,1.8,2.5,.691,0.8,2.5,3.3,0.8,0.4,0.3,1.1,2.1,9.1
425,Kyle Kuzma\kuzmaky01,PF,26,WAS,66,66,33.4,6.4,14.2,.452,1.9,5.7,.341,4.5,8.5,.526,.520,2.4,3.3,.712,1.1,7.4,8.5,3.5,0.6,0.9,2.6,1.9,17.1
426,Anthony Lamb\lamban01,SF,24,SAS,2,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
427,Jeremy Lamb\lambje01,SF-SG,29,TOT,47,0,16.5,2.3,6.2,.372,1.0,3.1,.329,1.3,3.1,.417,.455,1.7,2.0,.840,0.4,2.3,2.7,1.4,0.6,0.4,0.6,1.1,7.3
428,Jeremy Lamb\lambje01,SF,29,IND,39,0,15.7,2.2,5.8,.373,1.0,3.0,.333,1.2,2.8,.414,.458,1.7,2.1,.838,0.4,2.0,2.4,1.3,0.6,0.4,0.6,1.1,7.1
429,Jeremy Lamb\lambje01,SG,29,SAC,8,0,20.4,2.9,7.8,.371,1.1,3.6,.310,1.8,4.1,.424,.444,1.5,1.8,.857,0.4,3.6,4.0,2.0,0.4,0.8,0.8,0.9,8.4
430,Jock Landale\landajo01,C,26,SAS,46,1,10.7,2.0,3.8,.514,0.5,1.6,.307,1.5,2.2,.670,.580,0.6,0.7,.844,1.1,1.2,2.3,0.9,0.2,0.3,0.6,1.0,5.0
431,Romeo Langford\langfro01,SG,22,TOT,45,5,16.5,1.8,4.2,.436,0.6,1.9,.345,1.2,2.3,.510,.513,0.5,0.8,.553,0.7,1.7,2.3,0.4,0.5,0.4,0.4,1.0,4.8
432,Romeo Langford\langfro01,SG,22,BOS,44,5,16.5,1.8,4.2,.429,0.7,1.9,.349,1.1,2.3,.495,.508,0.5,0.8,.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7
433,Romeo Langford\langfro01,SG,22,SAS,1,0,16.0,3.0,4.0,.750,0.0,1.0,.000,3.0,3.0,1.000,.750,1.0,4.0,.250,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
434,Zach LaVine\lavinza01,SF,26,CHI,59,59,34.7,8.6,17.9,.479,2.8,7.1,.400,5.7,10.8,.531,.558,4.5,5.3,.853,0.3,4.4,4.8,4.7,0.6,0.4,2.6,1.8,24.5
435,Jake Layman\laymaja01,SF,27,MIN,29,1,6.9,0.8,2.1,.383,0.2,1.0,.172,0.6,1.1,.581,.425,0.3,0.4,.750,0.2,0.9,1.1,0.3,0.2,0.2,0.3,0.4,2.1
436,Damion Lee\leeda03,SG,29,GSW,55,4,19.7,2.7,6.1,.446,1.1,3.1,.347,1.6,3.0,.549,.534,0.9,1.0,.855,0.4,2.7,3.1,0.9,0.7,0.1,0.6,1.5,7.3
437,Saben Lee\leesa01,PG,22,DET,34,0,15.3,1.8,4.6,.387,0.4,1.5,.250,1.4,3.0,.456,.429,1.2,1.6,.792,0.4,1.9,2.2,2.4,0.9,0.3,0.8,1.1,5.1
438,Alex Len\lenal01,C,28,SAC,35,10,16.4,2.4,4.6,.525,0.2,0.6,.300,2.3,4.1,.556,.543,1.1,1.7,.638,1.4,3.0,4.4,1.2,0.3,0.7,1.2,2.7,6.1
439,Caris LeVert\leverca01,SG,27,TOT,48,40,30.4,6.7,15.3,.441,1.5,4.5,.321,5.3,10.7,.491,.488,2.6,3.4,.759,0.8,2.9,3.6,4.3,0.9,0.4,1.8,2.3,17.5
440,Caris LeVert\leverca01,SG,27,IND,39,39,31.1,7.1,15.9,.447,1.6,4.8,.323,5.6,11.1,.501,.496,2.8,3.7,.760,0.8,3.1,3.8,4.4,0.9,0.5,1.9,2.3,18.7
441,Caris LeVert\leverca01,SG,27,CLE,9,1,27.1,5.0,12.3,.405,1.0,3.2,.310,4.0,9.1,.439,.446,1.3,1.8,.750,0.7,1.9,2.6,3.7,0.8,0.2,1.4,2.3,12.3
442,Kira Lewis Jr.\lewiski01,PG,20,NOP,24,0,14.2,2.5,6.1,.404,0.5,2.4,.224,1.9,3.7,.523,.449,0.4,0.5,.833,0.4,1.3,1.6,2.0,0.5,0.0,1.1,0.7,5.9
443,Scottie Lewis\lewissc01,SG,21,CHO,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
444,Damian Lillard\lillada01,PG,31,POR,29,29,36.4,7.7,19.0,.402,3.2,9.8,.324,4.5,9.2,.485,.486,5.5,6.2,.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
445,Nassir Little\littlna01,SF,21,POR,42,23,25.9,3.5,7.5,.460,1.2,3.7,.331,2.2,3.8,.584,.541,1.6,2.2,.734,1.4,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.8
446,Isaiah Livers\liveris01,SF,23,DET,13,0,16.5,1.7,4.2,.400,1.2,3.2,.357,0.5,1.0,.538,.536,0.3,0.4,.800,0.8,1.7,2.5,0.8,0.5,0.4,0.6,1.9,4.8
447,Kevon Looney\looneke01,C,25,GSW,72,72,21.5,2.7,4.7,.567,0.0,0.0,.000,2.7,4.7,.568,.567,1.0,1.7,.597,2.6,4.8,7.5,2.0,0.6,0.7,0.9,2.7,6.3
448,Brook Lopez\lopezbr01,C,33,MIL,5,3,20.4,3.0,7.2,.417,1.2,3.2,.375,1.8,4.0,.450,.500,1.2,1.4,.857,1.6,2.0,3.6,0.8,0.4,1.4,0.6,3.2,8.4
449,Robin Lopez\lopezro01,C,33,ORL,29,9,17.3,3.3,5.9,.565,0.1,0.2,.400,3.2,5.7,.570,.571,0.9,1.5,.581,2.0,1.7,3.6,1.5,0.0,0.6,1.2,1.9,7.6
450,Didi Louzada\louzama01,SF,22,NOP,2,0,3.5,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
451,Kevin Love\loveke01,PF,33,CLE,64,3,22.3,4.3,10.2,.424,2.5,6.3,.391,1.9,3.9,.476,.544,2.5,2.9,.845,1.1,6.2,7.3,2.2,0.3,0.2,1.3,1.3,13.6
452,Kyle Lowry\lowryky01,PG,35,MIA,55,55,34.2,4.2,9.9,.423,2.1,6.0,.359,2.0,3.9,.521,.531,2.3,2.7,.848,0.5,4.1,4.7,7.7,1.1,0.3,2.8,2.7,12.8
453,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,43,12,11.6,1.3,3.3,.394,0.8,2.2,.368,0.5,1.1,.447,.518,0.4,0.5,.864,0.2,1.1,1.3,0.7,0.3,0.1,0.3,1.2,3.9
454,Trey Lyles\lylestr01,PF,26,TOT,66,14,19.8,3.4,7.2,.473,0.9,2.8,.324,2.5,4.5,.564,.535,2.5,3.2,.793,1.2,3.7,4.9,1.1,0.4,0.5,1.0,1.7,10.2
455,Trey Lyles\lylestr01,PF,26,DET,51,3,19.4,3.4,7.5,.456,0.9,2.9,.301,2.6,4.7,.550,.513,2.7,3.5,.784,1.2,3.6,4.8,1.1,0.4,0.5,1.1,1.8,10.4
456,Trey Lyles\lylestr01,PF,26,SAC,15,11,21.1,3.4,6.3,.543,1.0,2.4,.417,2.4,3.9,.621,.622,1.8,2.1,.844,1.3,4.1,5.3,1.1,0.3,0.3,0.8,1.5,9.6
457,Théo Maledon\maledth01,PG,20,OKC,45,2,15.7,1.7,5.1,.332,0.7,2.6,.261,1.0,2.4,.409,.400,1.2,1.6,.753,0.4,1.8,2.2,1.7,0.6,0.2,1.0,1.2,5.3
458,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,36,2,9.1,1.2,2.4,.477,0.5,1.2,.429,0.7,1.3,.522,.580,0.3,0.4,.786,0.8,1.0,1.8,0.4,0.2,0.2,0.3,0.6,3.1
459,Terance Mann\mannte01,SF,25,LAC,73,31,29.1,4.2,8.6,.480,1.0,2.7,.362,3.2,6.0,.533,.536,1.5,2.0,.779,1.3,4.2,5.5,2.6,0.7,0.2,1.0,2.2,10.8
460,Tre Mann\manntr01,PG,20,OKC,58,24,22.5,3.8,9.7,.390,1.6,4.5,.358,2.2,5.2,.419,.473,1.0,1.3,.773,0.4,2.4,2.8,1.5,0.8,0.2,1.1,1.7,10.2
461,Boban Marjanović\marjabo01,C,33,DAL,19,0,5.3,1.9,3.1,.621,0.1,0.2,.333,1.8,2.9,.636,.629,0.4,0.8,.500,0.4,1.2,1.6,0.1,0.0,0.1,0.6,1.1,4.3
462,Lauri Markkanen\markkla01,PF,24,CLE,51,51,31.1,5.1,11.5,.440,2.2,6.2,.352,2.9,5.4,.540,.534,2.1,2.4,.847,1.0,4.6,5.6,1.4,0.8,0.5,0.9,1.9,14.4
463,Naji Marshall\marshna01,SF,24,NOP,45,3,12.8,2.0,4.9,.405,0.4,2.0,.217,1.5,2.8,.539,.450,1.1,1.5,.761,0.7,2.0,2.7,1.0,0.6,0.1,0.8,1.1,5.5
464,Caleb Martin\martica02,SF,26,MIA,54,10,22.9,3.6,7.0,.516,1.1,2.6,.411,2.5,4.4,.578,.593,1.2,1.6,.767,1.3,2.7,3.9,1.1,1.0,0.5,0.8,1.6,9.5
465,Cody Martin\martico01,SF,26,CHO,61,11,26.7,2.9,6.2,.472,0.9,2.3,.400,2.0,3.9,.515,.546,1.2,1.7,.692,1.1,2.9,4.0,2.5,1.3,0.5,0.9,1.8,7.9
466,Kelan Martin\martike03,SF,26,TOT,30,1,15.0,2.3,5.7,.409,0.7,2.5,.293,1.6,3.2,.500,.474,0.3,0.4,.692,0.6,1.3,1.8,0.7,0.4,0.3,0.5,1.2,5.7
467,Kelan Martin\martike03,SF,26,IND,27,1,16.4,2.6,6.2,.417,0.8,2.7,.297,1.8,3.5,.511,.482,0.3,0.5,.692,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
468,Kelan Martin\martike03,SF,26,BOS,3,0,2.0,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
469,Kenyon Martin Jr.\martike04,SF,21,HOU,69,2,20.8,3.6,6.7,.536,0.8,2.1,.366,2.8,4.6,.611,.592,1.0,1.5,.629,1.0,2.9,3.9,1.3,0.4,0.4,0.8,1.3,8.9
470,Garrison Mathews\mathega01,SG,25,HOU,55,25,26.6,2.9,7.2,.408,2.2,6.0,.368,0.7,1.2,.603,.560,2.4,3.0,.798,0.5,2.5,3.0,1.0,0.8,0.3,0.7,2.6,10.5
471,Dakota Mathias\mathida01,SG,26,MEM,6,0,2.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
472,Wesley Matthews\matthwe02,SG,35,MIL,41,7,19.7,1.8,4.5,.389,1.1,3.2,.338,0.7,1.3,.519,.511,0.4,0.5,.714,0.6,1.4,2.0,0.7,0.5,0.1,0.4,1.8,5.0
473,Tyrese Maxey\maxeyty01,PG,21,PHI,64,63,35.6,6.5,13.3,.485,1.6,3.9,.414,4.8,9.4,.514,.545,2.9,3.4,.866,0.3,3.0,3.4,4.3,0.7,0.4,1.2,2.2,17.4
474,Skylar Mays\mayssk01,SG,24,ATL,25,5,8.4,1.3,2.5,.516,0.3,1.0,.320,1.0,1.5,.649,.581,0.3,0.4,.889,0.2,0.8,1.0,0.6,0.3,0.0,0.4,0.3,3.2
475,Miles McBride\mcbrimi01,PG,21,NYK,32,2,8.6,0.7,2.3,.280,0.3,1.3,.214,0.4,1.0,.364,.340,0.2,0.3,.700,0.1,0.8,0.9,1.1,0.3,0.0,0.2,1.2,1.8
476,Mac McClung\mccluma01,PG,23,CHI,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
477,CJ McCollum\mccolcj01,SG,30,TOT,52,52,35.2,8.7,19.0,.459,3.0,7.8,.387,5.7,11.2,.509,.538,1.8,2.5,.708,0.9,3.6,4.5,5.2,1.1,0.4,2.1,2.0,22.3
478,CJ McCollum\mccolcj01,SG,30,POR,36,36,35.2,8.1,18.5,.436,3.1,8.0,.384,5.0,10.4,.476,.520,1.3,1.9,.706,0.9,3.3,4.3,4.5,1.0,0.6,1.9,2.1,20.5
479,CJ McCollum\mccolcj01,SG,30,NOP,16,16,35.1,10.3,20.3,.506,2.9,7.3,.393,7.4,12.9,.570,.577,2.8,3.9,.710,0.9,4.1,5.0,6.7,1.2,0.0,2.4,1.8,26.1
480,T.J. McConnell\mccontj01,PG,29,IND,24,6,24.2,3.8,7.5,.503,0.3,1.0,.280,3.5,6.5,.538,.522,0.5,0.6,.800,0.8,2.5,3.3,4.8,1.0,0.4,1.2,1.8,8.4
481,Jaden McDaniels\mcdanja02,PF,21,MIN,67,31,26.1,3.7,8.1,.459,1.1,3.7,.313,2.6,4.4,.582,.531,0.8,1.0,.800,1.1,3.1,4.3,1.1,0.8,0.8,1.1,3.3,9.4
482,Jalen McDaniels\mcdanja01,SF,24,CHO,45,2,16.9,2.2,4.8,.468,0.7,2.1,.340,1.5,2.7,.566,.542,0.9,1.2,.696,0.7,2.5,3.2,1.0,0.5,0.4,0.7,1.7,6.1
483,Doug McDermott\mcderdo01,PF,30,SAS,51,51,24.0,4.2,9.1,.462,2.1,5.0,.422,2.1,4.1,.512,.578,0.8,1.0,.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3
484,JaVale McGee\mcgeeja01,C,34,PHO,66,14,15.7,4.0,6.3,.639,0.0,0.1,.250,4.0,6.2,.646,.641,1.4,2.0,.714,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.5,9.5
485,Cameron McGriff\mcgrica01,SF,24,POR,3,0,15.3,1.7,4.7,.357,0.7,2.0,.333,1.0,2.7,.375,.429,0.7,0.7,1.000,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
486,Rodney McGruder\mcgruro01,SG,30,DET,44,2,13.9,1.7,3.9,.436,1.0,2.6,.407,0.7,1.3,.492,.570,0.3,0.5,.700,0.6,1.4,2.0,0.8,0.4,0.1,0.4,1.0,4.8
487,Alfonzo McKinnie\mckinal01,SF,29,CHI,17,3,12.1,1.4,3.6,.393,0.5,1.6,.333,0.9,2.0,.441,.467,0.1,0.5,.250,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5
488,JaQuori McLaughlin\mclauja01,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
489,Jordan McLaughlin\mclaujo01,PG,25,MIN,53,3,13.8,1.2,3.1,.390,0.3,1.2,.234,0.9,1.9,.490,.436,0.5,0.7,.743,0.3,1.2,1.5,2.9,0.9,0.1,0.6,0.8,3.2
490,Ben McLemore\mclembe01,SG,28,POR,53,6,19.0,3.0,7.9,.375,2.2,6.2,.350,0.8,1.7,.467,.513,0.9,1.1,.793,0.2,1.3,1.6,0.9,0.5,0.2,0.7,1.6,9.0
491,De'Anthony Melton\meltode01,SG,23,MEM,63,13,22.4,3.6,9.2,.389,1.6,4.7,.345,2.0,4.5,.435,.477,1.1,1.5,.726,0.9,3.6,4.5,2.7,1.6,0.5,1.5,1.7,9.9
492,Sam Merrill\merrisa01,SG,25,MEM,6,0,9.7,1.3,4.0,.333,1.2,3.8,.304,0.2,0.2,1.000,.479,0.3,0.7,.500,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
493,Chimezie Metu\metuch01,C,24,SAC,51,20,20.9,3.2,7.3,.444,0.9,3.2,.298,2.3,4.1,.555,.508,1.2,1.5,.787,0.6,4.8,5.4,1.0,0.8,0.5,0.9,1.5,8.6
494,Khris Middleton\middlkh01,SF,30,MIL,59,59,32.4,6.9,15.5,.447,2.5,6.5,.381,4.4,8.9,.496,.528,4.1,4.5,.892,0.6,4.7,5.4,5.4,1.1,0.3,2.9,2.4,20.4
495,C.J. Miles\milescj01,SG,34,BOS,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
496,Patty Mills\millspa02,PG,33,BRK,71,46,29.9,4.3,10.4,.416,3.0,7.3,.409,1.3,3.1,.432,.560,0.6,0.7,.811,0.3,1.7,2.0,2.4,0.7,0.2,0.9,1.4,12.2
497,Paul Millsap\millspa01,PF,36,TOT,32,1,11.4,1.4,3.6,.395,0.3,1.1,.229,1.2,2.5,.468,.430,0.5,0.8,.708,1.3,2.3,3.6,0.9,0.3,0.4,0.6,2.0,3.6
498,Paul Millsap\millspa01,PF,36,BRK,24,0,11.3,1.3,3.5,.376,0.3,1.1,.222,1.1,2.4,.448,.412,0.5,0.7,.706,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
499,Paul Millsap\millspa01,PF,36,PHI,8,1,12.0,1.6,3.6,.448,0.3,1.0,.250,1.4,2.6,.524,.483,0.6,0.9,.714,1.5,1.6,3.1,0.6,0.5,0.3,0.9,2.1,4.1
500,Shake Milton\miltosh01,PG,25,PHI,44,6,21.6,3.2,7.6,.419,0.7,2.3,.291,2.5,5.3,.476,.464,1.2,1.4,.850,0.6,2.1,2.7,2.4,0.5,0.3,0.9,1.8,8.2
501,Davion Mitchell\mitchda01,PG,23,SAC,66,10,26.0,4.3,10.5,.409,1.4,4.3,.322,2.9,6.2,.470,.475,0.5,0.9,.593,0.5,1.7,2.2,3.4,0.7,0.3,1.3,1.9,10.5
502,Donovan Mitchell\mitchdo01,SG,25,UTA,59,59,33.7,9.3,20.5,.451,3.6,10.0,.363,5.6,10.5,.535,.539,3.8,4.5,.850,0.8,3.3,4.2,5.4,1.5,0.2,3.1,2.6,26.0
503,Evan Mobley\mobleev01,PF,20,CLE,64,64,34.2,6.2,12.2,.506,0.3,1.4,.247,5.8,10.8,.539,.520,2.5,3.7,.674,2.0,6.3,8.3,2.6,0.8,1.7,2.0,2.2,15.2
504,Malik Monk\monkma01,SG,23,LAL,66,30,27.6,4.8,10.3,.467,2.2,5.6,.391,2.6,4.7,.558,.574,1.1,1.4,.777,0.5,2.9,3.3,2.7,0.8,0.4,1.4,1.8,12.9
505,Greg Monroe\monrogr01,C,31,TOT,10,0,15.1,2.4,4.4,.545,0.0,0.0,,2.4,4.4,.545,.545,0.7,1.4,.500,2.3,2.9,5.2,1.4,0.6,0.7,0.9,1.6,5.5
506,Greg Monroe\monrogr01,C,31,MIN,3,0,21.0,3.0,4.7,.643,0.0,0.0,,3.0,4.7,.643,.643,0.7,1.7,.400,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
507,Greg Monroe\monrogr01,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
508,Greg Monroe\monrogr01,C,31,MIL,5,0,14.0,2.2,4.4,.500,0.0,0.0,,2.2,4.4,.500,.500,1.0,1.8,.556,2.2,2.0,4.2,0.4,0.6,0.4,0.6,1.4,5.4
509,Moses Moody\moodymo01,SG,19,GSW,46,9,11.7,1.5,3.5,.431,0.7,2.1,.347,0.8,1.3,.565,.538,0.6,0.7,.794,0.4,1.3,1.6,0.4,0.1,0.2,0.3,0.8,4.3
510,Xavier Moon\moonxa01,SG,27,LAC,6,0,13.8,2.3,5.7,.412,0.5,1.7,.300,1.8,4.0,.458,.456,0.3,0.5,.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
511,Matt Mooney\moonema01,SG,24,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
512,Ja Morant\moranja01,PG,22,MEM,56,56,33.3,10.2,20.8,.493,1.5,4.5,.340,8.7,16.3,.535,.530,5.6,7.3,.762,1.3,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.6
513,Juwan Morgan\morgaju01,PF,24,TOR,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
514,Jaylen Morris\morrija01,SG,26,SAS,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
515,Marcus Morris\morrima03,PF,32,LAC,48,48,29.3,5.8,13.1,.439,1.9,5.2,.375,3.8,8.0,.480,.513,2.5,2.8,.874,0.5,4.0,4.5,2.2,0.5,0.3,1.3,2.2,15.9
516,Markieff Morris\morrima02,PF,32,MIA,14,0,18.0,3.3,6.9,.474,0.6,2.2,.290,2.6,4.7,.561,.521,0.6,0.6,.889,1.1,1.7,2.9,1.4,0.2,0.1,1.4,2.2,7.8
517,Monte Morris\morrimo01,PG,26,DEN,67,66,29.8,5.1,10.5,.486,1.6,4.2,.390,3.4,6.3,.551,.565,0.9,1.1,.851,0.3,2.7,3.0,4.3,0.7,0.2,1.0,1.1,12.8
518,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
519,Mychal Mulder\muldemy01,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
520,Ade Murkey\murkead01,SG,24,SAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,Trey Murphy III\murphtr02,SF,21,NOP,52,0,13.1,1.5,3.9,.376,1.0,2.7,.369,0.5,1.2,.391,.502,0.6,0.7,.838,0.7,1.5,2.2,0.6,0.4,0.1,0.2,1.0,4.6
522,Dejounte Murray\murrade01,PG,25,SAS,63,63,34.7,8.4,18.3,.460,1.3,4.2,.318,7.1,14.1,.502,.496,2.6,3.4,.783,1.2,7.1,8.3,9.3,2.1,0.3,2.7,2.0,20.8
523,Mike Muscala\muscami01,C,30,OKC,43,0,13.8,2.6,5.8,.456,1.6,3.8,.429,1.0,2.0,.506,.597,1.1,1.3,.842,0.5,2.5,3.0,0.5,0.4,0.6,0.3,1.3,8.0
524,Svi Mykhailiuk\mykhasv01,SF,24,TOR,52,5,13.4,1.7,4.3,.393,0.7,2.4,.302,1.0,1.9,.510,.478,0.6,0.7,.853,0.4,1.4,1.8,0.8,0.5,0.1,0.5,1.0,4.7
525,Abdel Nader\naderab01,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
526,Larry Nance Jr.\nancela02,PF,29,POR,37,11,23.2,2.8,5.4,.515,0.5,1.7,.306,2.2,3.7,.610,.563,0.9,1.3,.653,1.6,4.1,5.6,2.0,1.0,0.4,0.7,1.8,6.9
